序号,名称,统计编号
599,杭州云特科技有限公司,2013010800 
600,杭州浙大知能科技有限公司,201201047 
601,浙江海静文化创意有限公司,20183301000925 
602,杭州哲信信息技术有限公司,20143301000470 
603,杭州昊方控制设备有限公司,20133301000019 
604,杭州天变科技有限公司,20143301000438 
605,浙大奔月科技有限公司,201201028 
606,杭州实时数码科技有限公司,20133301000737 
607,杭州信凯实业有限公司,2015010588 
608,杭州力特油剂有限公司,20153301000581 
609,杭州诠新景观设计有限公司,20153301000548 
610,杭州东方网和科技有限公司,2013010628 
611,杭州善文信息科技有限公司,2015010476 
612,杭州凤眼莲网络科技有限公司,20163301001545 
613,杭州蜜惠电子商务有限公司,20173301001148 
614,杭州复杂美科技有限公司,20183301000873 
615,杭州游蜗科技有限公司,20173301000674 
616,杭州西湖阀门厂,2014010449 
617,大金信息机器（杭州）有限公司,200802028 
618,杭州坚铿科技有限公司,2015010603 
619,杭州快智科技有限公司,2014010515 
620,杭州蓝昌科技有限公司,2015010527 
621,杭州斯玛格智能科技有限公司,2013010745 
622,浙江智唐科技有限公司,2014010489 
623,浙江智通消防网络有限公司,200901037 
624,浙江绩丰岩土技术股份有限公司,20173301000540 
625,杭州久益机械有限公司,2014010395 
626,杭州万宇建材工程有限公司,201002029 
627,杭州光海科技有限公司,2014010378 
628,杭州六合福思科技有限公司,20153301000614 
629,杭州清阳科技有限公司,20173301000538 
630,杭州金眼球科技有限公司,20153301000422 
631,杭州路腾科技有限公司,2015010636 
632,杭州亚升品牌设计有限责任公司,20183301001108 
633,杭州奥杰医疗器材有限公司,201001017 
634,杭州世介净化科技有限公司,201201059 
635,杭州畅聚科技有限公司,2014010362 
636,杭州聚能汽车有限公司,2014010512 
637,杭州中港建设工程有限公司,2014010471 
638,杭州黑驰马自动化科技有限公司,20173301000374 
639,杭州固态照明有限公司,2013010645 
640,杭州数品电子商务有限公司,2015010466 
641,杭州欣飞佳智通讯科技有限公司,20163301001764 
642,杭州土创科技有限公司,20173301000555 
643,杭州云哨科技有限公司,2015010554 
644,浙江巍翔科技有限公司,201201056 
645,杭州信使网络科技有限公司,20133301000007 
646,杭州壹到信息科技有限公司,20173301001162 
647,杭州火影网络有限公司,2015010688 
648,杭州安酷拉科技有限公司,2015010635 
649,杭州测易科技有限公司,2015010418 
650,杭州新苗自动化技术有限公司,2015010410 
651,杭州西屋信息科技有限公司,201002021 
652,杭州昂扬石力科技有限公司,20163301001146 
653,杭州艺豆网络科技有限公司,20163301001662 
654,杭州启扬智能科技有限公司,20143301000419 
655,杭州好好开车科技有限公司,2015010499 
656,杭州太阳能技术有限公司,2015010638 
657,杭州尚尚签网络科技有限公司,20163301001508 
658,杭州浙大奥博汽车电器有限公司,20103301002018 
659,杭州番茄动漫设计有限公司,200901042 
660,杭州菜巴巴农业开发有限公司,2015010690 
661,杭州雷博科技有限公司,20173301001296 
662,杭州老底子文化创意有限公司,20183301000882 
663,杭州瑞梦德医药科技有限公司,20143301000524 
664,杭州朱庇特环境科技有限公司,2015010430 
665,杭州鹏威科技有限公司,2014010418 
666,杭州嗨企网络科技有限公司,20183301000532 
667,杭州乐创海洋科技有限公司,2015010417 
668,杭州闻德电气有限公司,20143301000533 
669,杭州瓦屋科技有限公司,20153301000416 
670,杭州庄宸科技有限公司,2013010814 
671,杭州雷讯网络技术有限公司,2014010408 
672,杭州盛唐网络游戏设计游戏设计有限公司,20173301000696 
673,杭州杰信伟力科技有限公司,20143301000391 
674,杭州琪玖生物技术有限公司,2013010716 
675,杭州五感科技有限公司,20183301000997 
676,浙江汽轮成套技术开发有限公司,20163301001737 
677,杭州酷咖机器人科技有限公司,20173301001146 
678,杭州好客信息科技有限公司,2015010523 
679,浙江方大智控科技有限公司,2013010823 
680,杭州乾明科技有限公司,2013010718 
681,杭州陌圈科技有限公司,20173301000733 
682,浙江优诺肯科技有限公司,20153301000667 
683,杭州指安科技有限公司,20133301000012 
684,杭州爱司米医疗器械有限公司,20143301000492 
685,杭州树熊网络有限公司,20143301000528 
686,杭州创业互联科技有限公司,200604107 
687,浙江同人文化体育发展有限公司,20163301001223 
688,杭州莲月网络科技有限公司,2015010616 
689,杭州法莱利化工涂料有限公司,201201064 
690,杭州微球科技有限公司,20153301000509 
691,杭州时科电子商务有限公司,20153301000559 
692,杭州安体科技有限公司,2014010493 
